timesteps,mean_episode_reward
16384,-524.0
32768,-521.0
49152,-522.9375
65536,-517.25
81920,-512.5
98304,-507.18
114688,-502.38
131072,-497.99
147456,-494.26
163840,-485.68
180224,-472.92
196608,-456.75
212992,-441.95
229376,-423.44
245760,-403.27
262144,-377.22
278528,-366.32
294912,-354.53
311296,-350.28
327680,-346.22
344064,-345.14
360448,-341.64
376832,-337.2
393216,-325.39
409600,-317.74
425984,-317.83
442368,-312.28
458752,-310.04
475136,-301.79
491520,-300.2
507904,-300.43
524288,-295.19
540672,-295.24
557056,-290.0
573440,-290.73
589824,-280.02
606208,-275.46
622592,-274.12
638976,-284.18
655360,-286.54
671744,-294.33
688128,-299.69
704512,-299.96
720896,-297.6
737280,-288.58
753664,-281.52
770048,-278.14
786432,-279.97
802816,-277.78
819200,-276.7
835584,-276.03
851968,-275.11
868352,-276.18
884736,-273.61
901120,-276.83
917504,-278.43
933888,-276.68
950272,-272.7
966656,-271.7
983040,-269.15
999424,-268.89
1015808,-273.7
